,headline,abstract,date,category,emotion,source,links,sentiment,Emotion,reportCountry
884,"Rather than play the blame game, China and US can conquer pandemics together",,2020/12/17,covid-19,-1,chinadaily,https://epaper.chinadaily.com.cn/a/202004/16/WS5e97ab0ca3100c35fcd81df7.html,-0.4,-0.88,1
57,China Will Admit International Experts to Help Contain Coronavirus Outbreak,"As W.H.O. coordinates scientific teams, federal officials plan to expand",2020/1/28,covid-19,1,nytimes,https://www.nytimes.com/2020/01/28/health/airports-screening-coronavirus.html,0,0.8,1
58,Bolton Book Puts New Focus on Trump¡¯s Actions in Turkey and China Cases,Interventions in Justice Department proceedings draw scrutiny after the former,2020/1/28,politics  ,0,nytimes,https://www.nytimes.com/2020/01/28/us/politics/bolton-book-trump-china-turkey.html,0.136363636,0.136363636,1
59,Her Uighur Parents Were Model Chinese Citizens. It Didn¡¯t Matter.,When Zulhumar Isaac¡¯s parents disappeared amid a wave of detentions,2020/1/29,society ,1,nytimes,https://www.nytimes.com/2020/01/29/magazine/uyghur-muslims-china.html,0,0.8,1
60,Coronavirus Outbreak Tests World¡¯s Dependence on China,"As British Airways cancels flights and automakers close factories, businesses",2020/1/29,covid-19,1,nytimes,https://www.nytimes.com/2020/01/29/business/china-coronavirus-economy.html,0,0.8,1
374,Pompeo Praises Britain for Getting Tough on China,The secretary of state praised the British government for recent,2020/7/21,politics,-1,nytimes,https://www.nytimes.com/2020/07/21/world/europe/mike-pompeo-boris-johnson-china.html,-0.388888889,-0.877777778,1
62,Foreigners Airlifted From Chinese City at Heart of Coronavirus Outbreak,More than a dozen nations pulled their citizens from Wuhan.,2020/1/29,covid-19,0,nytimes,https://www.nytimes.com/2020/01/29/world/asia/wuhan-china-coronavirus-evacuations.html,0,0,1
31,Marco Rubio: Investing in China Is Not a Good Deal,It will result in American capital flowing to a regime,2020/1/17,society ,-1,nytimes,https://www.nytimes.com/2020/01/17/opinion/sunday/Marco-Rubio-China-trade-deal.html,-0.35,-0.87,1
64,"As Coronavirus Explodes in China, Countries Struggle to Control Its Spread","The time to prevent more epidemics is now, and countries",2020/1/30,covid-19,0,nytimes,https://www.nytimes.com/2020/01/29/health/china-coronavirus-outbreak.html,0,0,1
53,Chinese Officials Race to Contain Anger Over Virus,"With public fury rising, the government acted on several fronts",2020/1/27,covid-19,-1,nytimes,https://www.nytimes.com/2020/01/27/world/asia/china-coronavirus-social-media.html,-0.35,-0.87,1
66,Wall St. Shrugs Off Risks Related to Viral Outbreak in China,Global stocks fell as economists revised their outlooks on the,2020/1/30,covid-19,0,nytimes,https://www.nytimes.com/2020/01/30/business/stock-market-today.html,0,0,1
